"primaryTitle","startYear","weightedRating","numVotes","box_office_gross","runtimeMinutes","genres"
The Silence of the Lambs,1991,8.588592377966693,1618616,130812730,118,"Crime,Drama,Horror"
Alien,1979,8.482204436320796,1007359,78991141,117,"Horror,Sci-Fi"
The Shining,1980,8.384934408788324,1157246,44085357,146,"Drama,Horror"
Aliens,1986,8.378336393580911,803247,85177688,137,"Action,Adventure,Horror"
The Thing,1982,8.166844419169248,492576,20818206,109,"Horror,Mystery,Sci-Fi"
Jaws,1975,8.076938575749919,688464,260700245,124,"Adventure,Drama,Horror"
The Exorcist,1973,8.066601837101706,473819,193002530,122,Horror
Tumbbad,2018,7.971576638172837,67174,1691980,108,"Drama,Fantasy,Horror"
Blackfish,2013,7.898816002383174,74440,2303417,83,"Documentary,Drama,Horror"
Shaun of the Dead,2004,7.875858307942795,615534,30168182,99,"Comedy,Horror"
Get Out,2017,7.780836004992797,750338,255407969,104,"Horror,Mystery,Thriller"
Predator,1987,7.769729563064882,473178,59742555,107,"Action,Adventure,Horror"
Let the Right One In,2008,7.7390532682363515,232468,1738308,114,"Drama,Fantasy,Horror"
Dawn of the Dead,1978,7.694559426945871,132237,102278712,127,"Horror,Thriller"
Manichithrathazhu,1993,7.664256261914986,13314,71908,169,"Comedy,Horror,Mystery"
Halloween,1978,7.657205642570326,321403,47001351,91,"Horror,Thriller"
Evil Dead II,1987,7.627809282590525,188467,5924743,84,"Comedy,Horror"
American Psycho,2000,7.582600492927873,768811,34266564,102,"Crime,Drama,Horror"
Saw,2004,7.5725843578377265,486083,103096345,103,"Horror,Mystery,Thriller"
The Others,2001,7.567337427705306,407186,209947037,104,"Horror,Mystery,Thriller"
The Blue Elephant,2014,7.563455788600756,30421,363719,170,"Crime,Drama,Horror"
Train to Busan,2016,7.552745906923774,279890,92742323,118,"Action,Horror,Thriller"
The Fly,1986,7.538177936112616,212744,40460371,96,"Drama,Horror,Sci-Fi"
What We Do in the Shadows,2014,7.536509049606417,207019,7288730,86,"Comedy,Horror"
Zombieland,2009,7.479950695954011,641309,75590286,88,"Action,Comedy,Horror"
